Latin_name,Common_name,Tree_Hollow_Use,Head_Body_Length_mm,Body_Mass_g
Microcebus myoxinus,Peters' Mouse Lemur,0,123.7,49
Microcebus ravelobensis,Golden-brown Mouse Lemur,1,127.3,63.7
Microcebus rufus,Rufous Mouse Lemur,1,114,41.9
Microcebus sambiranensis,Sambirano Mouse Lemur,0,116.5,35
Microcebus simmonsi,Simmons' Mouse Lemur,0,128,76.5
Microcebus tanosi,Anosi Mouse Lemur,0,128,54
Microcebus tavaratra,Tavaratra Mouse Lemur,0,126.3,61.1
Miopithecus ogouensis,Northern Talapoin Monkey,0,310,1216.25
Miopithecus talapoin,Southern Talapoin Monkey,0,,1012.5
Mirza coquereli,Coquerel's Giant Mouse Lemur,0,249.5,307.9
Mirza zaza,Northern Giant Mouse Lemur,0,243,293
Nycticebus bancanus,Bangka Slow Loris,0,258.05,
Nycticebus bengalensis,Bengal Slow Loris,0,344.75,1369.125
Nycticebus borneanus,Bornean Slow Loris,0,260.1,
Nycticebus coucang  ,Sunda Slow Loris,0,292.5,833
Nycticebus hilleri,Hiller's Slow Loris,0,,
Nycticebus javanicus,Javan Slow Loris,0,331.4,854.98
Nycticebus kayan,Kayan River Slow Loris,0,273.4,410.5
Nycticebus menagensis,Philippine Slow Loris,0,,
Nycticebus pygmaeus,Pygmy Slow Loris,0,217.1,420.5
Otolemur crassicaudatus,Thick-tailed Greater Galago,1,327.5,1190.5
Otolemur garnettii,Garnett’s Greater Galago,1,284,834.75
Paragalago cocos,Kenya Coast Dwarf Galago,1,158.5,146.5
Paragalago granti,Mozambique Dwarf Galago,1,150,135
Paragalago orinus,Mountain Dwarf Galago,1,131.5,89.6
Paragalago rondoensis,Rondo Dwarf Galago,0,,79.75
Paragalago zanzibaricus,Tanzania Coast Dwarf Galago,1,159.5,138
Perodicticus edwardsi,Milne-Edwards’ Potto,0,366.5,1537
Perodicticus ibeanus,East African Potto,0,337.5,
Perodicticus potto,West African Potto,0,328.5,885
Phaner electromontis,Montagne d'Ambre Fork-marked Lemur,0,272,387
Phaner furcifer,Masoala Fork-marked Lemur,1,,
Phaner pallescens,Pale Fork-marked Lemur,1,263.5,339.15
Phaner parienti,Sambirano Fork-marked Lemur,0,238,360
Pithecia pithecia,White-faced Saki,0,365.75,1531
Plecturocebus aureipalatii,Madidi Titi,0,306.5,950
Plecturocebus baptista,Lake Baptista Titi,0,357.5,1165
Plecturocebus bernhardi,Prince Bernhard’s Titi,0,370,950
Plecturocebus brunneus,Brown Titi,0,317.5,847.5
Plecturocebus caligatus,Chestnut-bellied Titi,0,352.5,
Plecturocebus caquetenesis,Caquetá titi,0,,
Plecturocebus cinerascens,Ashy Titi,0,357.5,845
